,Wh Used,Wh Charged,RPM,current,duty cycle,Ah Used,Ah Charged,Tachometer,Voltage In,Reserved,ADC1,ADC2,ADC3,PPM,g9 Open Voltage,Checksum,Cell ID,Instant Voltage,Internal Resistance,Open Voltage,ance,Pack Current,Voltage,Pack SOC,Relay State,High Temperature,High Thermistor ID,Low Temperature,Low Thermistor ID,Pack DCL,Pack CCL,High Cell Voltage,High Cell Voltage ID,Low Cell Voltage,Low Cell Voltage ID,Inte Wh Used
173,22520,7001,5241,0,709,455,130,,,,927,633,927,,,233,8,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
174,22520,7001,5134,0,,,,,,,,,,,,2,9,0,1509,0,,,,,,,,,,,,0,1,0,1,
175,,,,,,455,,,,,,,,,,56,10,0,1509,0,,,,,,,,,,,,,,,,
176,22520,7001,5027,0,678,455,,,,,927,632,927,0,,233,11,0,1509,0,,1 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
177,22520,,,,,,,,,,927,632,927,0,,2,12,0,1509,0,,,,,,,,,,,,0,1,0,1,
178,,,4922,0,,,,,,,,,,,,59,13,0,1509,0,,,,,,,,,,,,,,,,
179,22520,7001,4820,0,,455,130,,,,927,634,927,0,,233,14,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
180,,,,,,455,130,,,,927,633,927,,,2,15,0,1509,0,,,,,,,,,,,,0,1,0,1,
181,22520,,,,,,,,,,,,,,,46,0,0,1509,0,,,,,,,,,,,,,,,,
182,22520,,4715,0,638,455,130,,,,929,633,929,0,,60,1,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
183,,,4614,0,,,,,,,,,,,,48,2,0,1509,0,,,,,,,,,,,,,,,,
184,22520,7001,4514,0,,455,130,,,,930,633,930,0,,233,3,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
185,,,,,,455,,,,,,,,,,50,4,0,1509,0,,,,,,,,,,,,,,,,
186,22520,,,,,,,,,,929,632,929,0,,2,5,0,1509,0,,,,,,,,,,,,0,1,0,1,
187,22520,,4413,0,611,455,130,,,,930,632,930,0,,233,6,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
188,,,4313,0,582,455,,,,,,,,,,2,7,0,1509,0,,,,,,,,,,,,0,1,0,1,
189,,,,,,,,,,,931,633,931,,,51,8,0,1509,0,,,,,,,,,,,,,,,,
190,22520,7001,4217,0,571,455,130,,,,933,634,933,,,233,9,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
191,22520,7001,4117,0,,,,,,,,,,,,2,10,0,1509,0,,,,,,,,,,,,0,1,0,1,
192,,,,,,455,,,,,,,,,,54,11,0,1509,0,,,,,,,,,,,,,,,,
193,22520,7001,4023,0,549,455,,,,,930,632,930,0,,233,12,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
194,22520,,,,,,,,,,931,632,931,0,,2,13,0,1509,0,,,,,,,,,,,,0,1,0,1,
195,,,3925,0,,,,,,,,,,,,57,14,0,1509,0,,,,,,,,,,,,,,,,
196,22520,7001,3834,0,,455,130,,,,932,632,932,0,,60,15,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
197,,,,,,455,,,,,,,,,,43,0,0,1509,0,,,,,,,,,,,,,,,,
198,22520,7001,4190,264,629,458,,,,,988,632,988,0,,233,1,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
199,,,,,,,,,,,1262,633,1262,,,45,2,0,1509,0,,,,,,,,,,,,,,,,
200,22668,7001,5086,275,,,,,,,,,,,,2,3,0,1509,0,,,,,,,,,,,,0,1,0,1,
201,22909,7001,5970,262,,463,130,,,,1261,632,1261,0,,233,4,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
202,,,,,,469,130,,,,1261,634,1261,,,2,5,0,1509,0,,,,,,,,,,,,0,1,0,1,
203,23186,,,,,,,,,,,,,,,49,6,0,1509,0,,,,,,,,,,,,,,,,
204,23485,,6801,206,928,475,130,,,,1261,632,1261,0,,233,7,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
205,,,6864,-24,934,475,,,,,,,,,,2,8,0,1509,0,,,,,,,,,,,,0,1,0,1,
206,,,,,,,,,,,1261,633,1261,,,52,9,0,1509,0,,,,,,,,,,,,,,,,
207,23504,7051,6746,61,946,476,131,,,,1261,633,1261,,,233,10,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
208,23545,7052,6808,10,,,,,,,,,,,,2,11,0,1509,0,,,,,,,,,,,,0,1,0,1,
209,,,,,,477,,,,,,,,,,58,12,0,1509,0,,,,,,,,,,,,,,,,
210,23602,7052,6783,73,949,478,,,,,1260,634,1260,0,,60,13,0,1509,0,,1 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
211,,,,,,,,,,,1261,633,1261,,,60,14,0,1509,0,,,,,,,,,,,,,,,,
212,23652,7052,6784,41,947,479,131,,,,1260,633,1260,,,233,15,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
213,23691,,,,,,,,,,,,,,,46,0,0,1509,0,,,,,,,,,,,,,,,,
214,,,6795,20,944,480,,,,,,,,,,2,1,0,1509,0,,,,,,,,,,,,0,1,0,1,
215,23749,7052,6782,38,933,481,,,,,1262,635,1262,0,,233,2,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
216,23786,,,,,,,,,,1260,632,1260,0,,2,3,0,1509,0,,,,,,,,,,,,0,1,0,1,
217,,,6804,40,,,,,,,,,,,,50,4,0,1509,0,,,,,,,,,,,,,,,,
218,23840,7052,6773,39,,482,131,,,,1259,632,1259,0,,233,5,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
219,,,,,,483,131,,,,1258,633,1258,,,2,6,0,1509,0,,,,,,,,,,,,0,1,0,1,
220,23878,,,,,,,,,,,,,,,53,7,0,1509,0,,,,,,,,,,,,,,,,
221,23933,,6804,23,939,484,131,,,,1259,633,1259,0,,233,8,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
222,,,6788,31,937,485,,,,,,,,,,2,9,0,1509,0,,,,,,,,,,,,0,1,0,1,
223,,,,,,,,,,,1259,633,1259,,,56,10,0,1509,0,,,,,,,,,,,,,,,,
224,23979,7052,6796,45,934,486,131,,,,1259,633,1259,,,60,11,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
225,24029,,,,,,,,,,,,,,,58,12,0,1509,0,,,,,,,,,,,,,,,,
226,24079,,6794,51,944,487,131,,,,1259,634,1259,0,,233,13,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
227,,,6783,40,,,,,,,,,,,,64,14,0,1509,0,,,,,,,,,,,,,,,,
228,,,,,,488,131,,,,1259,633,1259,,,2,15,0,1509,0,,,,,,,,,,,,0,1,0,1,
229,24116,7052,6798,27,931,489,131,,,,1258,632,1258,,,233,0,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
230,24168,7052,6775,62,,,,,,,,,,,,2,1,0,1509,0,,,,,,,,,,,,0,1,0,1,
231,,,,,,489,,,,,,,,,,52,2,0,1509,0,,,,,,,,,,,,,,,,
232,24212,7052,6794,39,923,490,,,,,1258,633,1258,0,,233,3,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
233,24262,,,,,,,,,,1258,632,1258,0,,2,4,0,1509,0,,,,,,,,,,,,0,1,0,1,
234,,,6802,45,,,,,,,,,,,,52,5,0,1509,0,,,,,,,,,,,,,,,,
235,24317,7052,6779,44,,492,131,,,,1257,633,1257,0,,233,6,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
236,,,,,,492,131,,,,1256,633,1256,,,2,7,0,1509,0,,,,,,,,,,,,0,1,0,1,
237,24352,,,,,,,,,,,,,,,54,8,0,1509,0,,,,,,,,,,,,,,,,
238,24404,,6793,43,944,493,131,,,,1251,632,1251,0,,60,9,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
239,,,6784,69,,,,,,,,,,,,56,10,0,1509,0,,,,,,,,,,,,,,,,
240,24455,7052,6799,21,,494,131,,,,1250,633,1250,0,,233,11,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
241,,,,,,495,,,,,,,,,,55,12,0,1509,0,,,,,,,,,,,,,,,,
242,24498,,,,,,,,,,1251,632,1251,0,,2,13,0,1509,0,,,,,,,,,,,,0,1,0,1,
243,24544,,6792,22,944,496,131,,,,1250,632,1250,0,,233,14,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
244,,,6794,56,941,497,,,,,,,,,,2,15,0,1509,0,,,,,,,,,,,,0,1,0,1,
245,,,,,,,,,,,1251,633,1251,,,43,0,0,1509,0,,,,,,,,,,,,,,,,
246,24601,7052,6793,38,921,498,131,,,,1250,633,1250,,,233,1,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
247,24639,7052,6797,48,,,,,,,,,,,,2,2,0,1509,0,,,,,,,,,,,,0,1,0,1,
248,,,,,,499,,,,,,,,,,46,3,0,1509,0,,,,,,,,,,,,,,,,
249,24697,7052,6783,34,926,500,,,,,1252,635,1252,0,,233,4,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
250,24733,,,,,,,,,,1249,633,1249,0,,2,5,0,1509,0,,,,,,,,,,,,0,1,0,1,
251,,,6776,41,,,,,,,,,,,,49,6,0,1509,0,,,,,,,,,,,,,,,,
252,24782,7052,6770,49,,501,131,,,,1249,633,1249,0,,60,7,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
253,,,,,,502,,,,,,,,,,49,8,0,1509,0,,,,,,,,,,,,,,,,
254,24824,7052,6802,21,917,503,,,,,1247,632,1247,0,,233,9,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
255,,,,,,,,,,,1249,633,1249,,,54,10,0,1509,0,,,,,,,,,,,,,,,,
256,24883,7052,6778,47,,,,,,,,,,,,2,11,0,1509,0,,,,,,,,,,,,0,1,0,1,
257,24923,7052,6806,24,,504,131,,,,1251,635,1251,0,,233,12,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
258,,,,,,505,131,,,,1248,633,1248,,,2,13,0,1509,0,,,,,,,,,,,,0,1,0,1,
259,24980,,,,,,,,,,,,,,,63,14,0,1509,0,,,,,,,,,,,,,,,,
260,25021,,6773,62,945,506,131,,,,1248,636,1248,0,,233,15,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
261,,,6792,22,929,507,,,,,,,,,,2,0,0,1509,0,,,,,,,,,,,,0,1,0,1,
262,,,,,,,,,,,1151,632,1151,,,50,1,0,1509,0,,,,,,,,,,,,,,,,
263,25067,7052,6707,44,905,507,131,,,,1120,632,1120,,,233,2,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
264,25086,7052,6695,70,,,,,,,,,,,,2,3,0,1509,0,,,,,,,,,,,,0,1,0,1,
265,,,,,,508,,,,,,,,,,53,4,0,1509,0,,,,,,,,,,,,,,,,
266,25136,7052,6737,45,934,509,,,,,1120,633,1120,0,,60,5,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
267,,,,,,,,,,,1121,633,1121,,,55,6,0,1509,0,,,,,,,,,,,,,,,,
268,25196,7052,6713,46,928,510,131,,,,1123,634,1123,,,233,7,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
269,25237,,,,,,,,,,,,,,,57,8,0,1509,0,,,,,,,,,,,,,,,,
270,,,6710,54,921,511,,,,,,,,,,2,9,0,1509,0,,,,,,,,,,,,0,1,0,1,
271,25286,7052,6701,42,929,512,,,,,1122,632,1122,0,,233,10,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
272,25327,,,,,,,,,,1122,633,1122,0,,2,11,0,1509,0,,,,,,,,,,,,0,1,0,1,
273,,,6732,39,,,,,,,,,,,,58,12,0,1509,0,,,,,,,,,,,,,,,,
274,25387,7052,6721,67,,513,131,,,,1124,634,1124,0,,233,13,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
275,,,,,,514,131,,,,1124,633,1124,,,2,14,0,1509,0,,,,,,,,,,,,0,1,0,1,
276,25434,,,,,,,,,,,,,,,61,15,0,1509,0,,,,,,,,,,,,,,,,
277,25476,,6714,61,918,515,131,,,,1124,633,1124,0,,233,0,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
278,,,6720,35,937,516,,,,,,,,,,2,1,0,1509,0,,,,,,,,,,,,0,1,0,1,
279,,,,,,,,,,,1125,633,1125,,,48,2,0,1509,0,,,,,,,,,,,,,,,,
280,25522,7052,6720,77,913,517,131,,,,1124,632,1124,,,60,3,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
281,25575,,,,,,,,,,,,,,,50,4,0,1509,0,,,,,,,,,,,,,,,,
282,25612,,6715,35,898,517,131,,,,1125,634,1125,0,,233,5,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
283,,,6723,48,,,,,,,,,,,,52,6,0,1509,0,,,,,,,,,,,,,,,,
284,,,,,,519,131,,,,1125,633,1125,,,2,7,0,1509,0,,,,,,,,,,,,0,1,0,1,
285,25669,7052,6727,38,919,519,131,,,,1124,633,1124,,,233,8,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
286,25714,7052,6725,43,,,,,,,,,,,,2,9,0,1509,0,,,,,,,,,,,,0,1,0,1,
287,,,,,,520,,,,,,,,,,56,10,0,1509,0,,,,,,,,,,,,,,,,
288,25766,7052,6706,23,929,521,,,,,1124,633,1124,0,,233,11,0,1509,0,,1 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
289,25799,,,,,,,,,,1124,632,1124,0,,2,12,0,1509,0,,,,,,,,,,,,0,1,0,1,
290,,,6712,21,,,,,,,,,,,,59,13,0,1509,0,,,,,,,,,,,,,,,,
291,25854,7052,6723,43,,522,131,,,,1124,633,1124,0,,233,14,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
292,,,,,,523,131,,,,1125,634,1125,,,2,15,0,1509,0,,,,,,,,,,,,0,1,0,1,
293,25902,,,,,,,,,,,,,,,52,0,0,1509,0,,,,,,,,,,,,,,,,
294,25946,,6712,16,919,524,131,,,,1124,633,1124,0,,60,1,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
295,,,6705,57,,,,,,,,,,,,54,2,0,1509,0,,,,,,,,,,,,,,,,
296,25993,7052,6722,20,,525,131,,,,1124,632,1124,0,,233,3,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
297,,,,,,526,,,,,,,,,,56,4,0,1509,0,,,,,,,,,,,,,,,,
298,26043,,,,,,,,,,1123,632,1123,0,,2,5,0,1509,0,,,,,,,,,,,,0,1,0,1,
299,26085,,6716,34,905,527,131,,,,1124,634,1124,0,,233,6,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
300,,,6730,52,914,528,,,,,,,,,,2,7,0,1509,0,,,,,,,,,,,,0,1,0,1,
301,,,,,,,,,,,1124,633,1124,,,60,8,0,1509,0,,,,,,,,,,,,,,,,
302,26148,7052,6714,73,920,529,131,,,,1124,633,1124,,,233,9,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
303,26181,7052,6727,28,,,,,,,,,,,,2,10,0,1509,0,,,,,,,,,,,,0,1,0,1,
304,,,,,,530,,,,,,,,,,63,11,0,1509,0,,,,,,,,,,,,,,,,
305,26237,7052,6717,40,913,531,,,,,1124,633,1124,0,,233,12,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
306,26278,,,,,,,,,,1124,632,1124,0,,2,13,0,1509,0,,,,,,,,,,,,0,1,0,1,
307,,,6735,34,,,,,,,,,,,,66,14,0,1509,0,,,,,,,,,,,,,,,,
308,26334,7052,6713,49,,532,131,,,,1124,633,1124,0,,60,15,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
309,,,,,,533,,,,,,,,,,52,0,0,1509,0,,,,,,,,,,,,,,,,
310,26376,7052,6723,27,916,533,,,,,1124,632,1124,0,,233,1,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
311,,,,,,,,,,,1124,633,1124,,,52,2,0,1509,0,,,,,,,,,,,,,,,,
312,26422,7052,6712,59,,,,,,,,,,,,2,3,0,1509,0,,,,,,,,,,,,0,1,0,1,
313,26476,7052,6688,0,,535,131,,,,1121,632,1121,0,,233,4,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
314,,,,,,535,131,,,,878,633,878,,,2,5,0,1509,0,,,,,,,,,,,,0,1,0,1,
315,26501,,,,,,,,,,,,,,,53,6,0,1509,0,,,,,,,,,,,,,,,,
316,26501,,6575,0,887,535,131,,,,817,633,817,0,,233,7,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
317,,,6456,0,868,535,,,,,,,,,,2,8,0,1509,0,,,,,,,,,,,,0,1,0,1,
318,,,,,,,,,,,819,633,819,,,56,9,0,1509,0,,,,,,,,,,,,,,,,
319,26501,7052,6367,149,874,536,131,,,,1169,633,1169,,,233,10,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
320,26530,7052,6665,129,,,,,,,,,,,,2,11,0,1509,0,,,,,,,,,,,,0,1,0,1,
321,,,,,,539,,,,,,,,,,59,12,0,1509,0,,,,,,,,,,,,,,,,
322,26687,7052,6773,18,922,540,,,,,1161,630,1161,0,,60,13,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
323,,,,,,,,,,,1163,633,1163,,,61,14,0,1509,0,,,,,,,,,,,,,,,,
324,26735,7053,6739,44,913,541,131,,,,1164,634,1164,,,233,15,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
325,26779,,,,,,,,,,,,,,,46,0,0,1509,0,,,,,,,,,,,,,,,,
326,,,6759,37,925,542,,,,,,,,,,2,1,0,1509,0,,,,,,,,,,,,0,1,0,1,
327,26834,7053,6738,48,909,543,,,,,1163,632,1163,0,,233,2,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
328,26873,,,,,,,,,,1164,634,1164,0,,2,3,0,1509,0,,,,,,,,,,,,0,1,0,1,
329,,,6764,32,,,,,,,,,,,,47,4,0,1509,0,,,,,,,,,,,,,,,,
330,26927,7053,6746,62,,544,131,,,,1164,633,1164,0,,233,5,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
331,,,,,,544,131,,,,1165,635,1165,,,2,6,0,1509,0,,,,,,,,,,,,0,1,0,1,
332,26971,,,,,,,,,,,,,,,48,7,0,1509,0,,,,,,,,,,,,,,,,
333,27020,,6757,39,914,545,131,,,,1163,632,1163,0,,233,8,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
334,,,6752,42,943,546,,,,,,,,,,2,9,0,1509,0,,,,,,,,,,,,0,1,0,1,
335,,,,,,,,,,,1163,633,1163,,,51,10,0,1509,0,,,,,,,,,,,,,,,,
336,27070,7053,6748,48,931,547,131,,,,1164,633,1164,,,60,11,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
337,27115,,,,,,,,,,,,,,,53,12,0,1509,0,,,,,,,,,,,,,,,,
338,27159,,6747,36,924,548,131,,,,1163,632,1163,0,,233,13,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
339,,,6743,45,,,,,,,,,,,,55,14,0,1509,0,,,,,,,,,,,,,,,,
340,,,,,,549,131,,,,1164,633,1164,,,2,15,0,1509,0,,,,,,,,,,,,0,1,0,1,
341,27209,7053,6745,53,914,550,131,,,,1163,633,1163,,,233,0,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
342,27255,7053,6767,14,,,,,,,,,,,,2,1,0,1509,0,,,,,,,,,,,,0,1,0,1,
343,,,,,,551,,,,,,,,,,48,2,0,1509,0,,,,,,,,,,,,,,,,
344,27316,7053,6736,48,929,552,,,,,1163,633,1163,0,,233,3,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
345,27346,,,,,,,,,,1163,633,1163,0,,2,4,0,1509,0,,,,,,,,,,,,0,1,0,1,
346,,,6752,26,,,,,,,,,,,,49,5,0,1509,0,,,,,,,,,,,,,,,,
347,27400,7053,6735,77,,553,131,,,,1163,632,1163,0,,233,6,0,1509,0,,0 Pack Inst.,0,2,32840,25,8,23,4,0,0,,,,,
348,,,,,,554,131,,,,1163,633,1163,,,2,7,0,1509,0,,,,,,,,,,,,0,1,0,1,
349,28787,7053,0,0,3,581,131,66666,507,0,623,631,623,0,,,8,0,,,,,,,,,,,,,,,,,,27448
